duration,month,hour,day_of_week,user_type
15.4333,3,23,Thursday,Subscriber
3.3,3,22,Thursday,Subscriber
2.0667,3,22,Thursday,Subscriber
19.6833,3,22,Thursday,Subscriber
10.9333,3,22,Thursday,Subscriber
19.0,3,21,Thursday,Subscriber
6.9667,3,21,Thursday,Subscriber
17.0333,3,20,Thursday,Subscriber
6.1167,3,20,Thursday,Subscriber
6.3167,3,20,Thursday,Subscriber
11.3,3,20,Thursday,Subscriber
8.3,3,20,Thursday,Subscriber
8.2833,3,19,Thursday,Subscriber
36.0333,3,19,Thursday,Subscriber
5.8333,3,19,Thursday,Subscriber
5.35,3,19,Thursday,Subscriber
6.4167,3,19,Thursday,Subscriber
12.1333,3,19,Thursday,Subscriber
2.5333,3,19,Thursday,Subscriber
8.7,3,19,Thursday,Subscriber
6.9333,3,19,Thursday,Subscriber
13.7167,3,18,Thursday,Subscriber
20.0667,3,18,Thursday,Subscriber
21.8167,3,18,Thursday,Customer
14.2833,3,18,Thursday,Subscriber
6.2667,3,18,Thursday,Subscriber
10.3,3,18,Thursday,Subscriber
4.7333,3,18,Thursday,Subscriber
9.1167,3,18,Thursday,Subscriber
4.2667,3,17,Thursday,Subscriber
7.8,3,17,Thursday,Subscriber
9.7167,3,17,Thursday,Subscriber
2.4667,3,17,Thursday,Subscriber
14.5667,3,17,Thursday,Subscriber
4.75,3,17,Thursday,Subscriber
9.35,3,17,Thursday,Subscriber
4.5333,3,17,Thursday,Subscriber
5.25,3,17,Thursday,Subscriber
14.4333,3,17,Thursday,Subscriber
22.3167,3,17,Thursday,Customer
20.9167,3,17,Thursday,Subscriber
9.7333,3,17,Thursday,Subscriber
6.1833,3,17,Thursday,Subscriber
10.3333,3,17,Thursday,Subscriber
29.8,3,17,Thursday,Subscriber
2.4833,3,17,Thursday,Subscriber
12.1833,3,17,Thursday,Subscriber
10.3833,3,17,Thursday,Subscriber
14.2167,3,17,Thursday,Subscriber
5.8667,3,17,Thursday,Subscriber
12.75,3,17,Thursday,Subscriber
10.7,3,17,Thursday,Subscriber
6.5833,3,17,Thursday,Subscriber
14.0167,3,17,Thursday,Subscriber
5.65,3,16,Thursday,Subscriber
8.1167,3,16,Thursday,Subscriber
19.05,3,16,Thursday,Subscriber
12.2833,3,16,Thursday,Subscriber
8.4833,3,16,Thursday,Subscriber
10.0167,3,16,Thursday,Subscriber
4.3833,3,16,Thursday,Subscriber
9.0333,3,16,Thursday,Subscriber
18.0333,3,16,Thursday,Subscriber
26.3667,3,16,Thursday,Customer
3.4333,3,16,Thursday,Subscriber
12.3333,3,16,Thursday,Customer
16.6167,3,16,Thursday,Subscriber
2.85,3,16,Thursday,Subscriber
37.75,3,16,Thursday,Subscriber
25.7,3,15,Thursday,Customer
11.45,3,15,Thursday,Subscriber
11.3667,3,15,Thursday,Subscriber
8.7833,3,15,Thursday,Subscriber
30.5,3,15,Thursday,Subscriber
29.5833,3,15,Thursday,Customer
23.6667,3,15,Thursday,Subscriber
3.8667,3,15,Thursday,Subscriber
3.1,3,15,Thursday,Subscriber
10.6667,3,14,Thursday,Customer
16.5833,3,14,Thursday,Subscriber
24.8,3,14,Thursday,Customer
10.05,3,14,Thursday,Subscriber
5.9,3,14,Thursday,Customer
25.7333,3,14,Thursday,Subscriber
3.5,3,14,Thursday,Subscriber
189.9333,3,14,Thursday,Subscriber
6.0,3,13,Thursday,Subscriber
1.1,3,13,Thursday,Subscriber
26.1667,3,13,Thursday,Customer
91.3,3,12,Thursday,Customer
5.25,3,12,Thursday,Subscriber
7.8333,3,12,Thursday,Subscriber
4.35,3,11,Thursday,Subscriber
8.8,3,11,Thursday,Subscriber
10.7,3,11,Thursday,Subscriber
9.4833,3,11,Thursday,Subscriber
14.4,3,11,Thursday,Subscriber
42.6,3,11,Thursday,Customer
5.4333,3,11,Thursday,Subscriber
16.5167,3,10,Thursday,Subscriber
4.65,3,10,Thursday,Subscriber
2.8167,3,9,Thursday,Subscriber
7.5167,3,9,Thursday,Subscriber
10.55,3,9,Thursday,Subscriber
21.7,3,9,Thursday,Subscriber
12.0667,3,8,Thursday,Subscriber
13.25,3,8,Thursday,Subscriber
18.0,3,8,Thursday,Subscriber
7.0333,3,8,Thursday,Subscriber
20.9167,3,8,Thursday,Customer
9.3333,3,8,Thursday,Subscriber
3.3667,3,7,Thursday,Subscriber
7.4833,3,7,Thursday,Subscriber
6.8833,3,7,Thursday,Subscriber
2.45,3,7,Thursday,Subscriber
3.45,3,7,Thursday,Subscriber
7.5333,3,6,Thursday,Subscriber
11.8333,3,6,Thursday,Subscriber
6.9833,3,6,Thursday,Subscriber
7.5167,3,6,Thursday,Subscriber
6.7833,3,4,Thursday,Subscriber
9.8333,3,0,Thursday,Subscriber
17.9,3,23,Wednesday,Subscriber
17.2167,3,21,Wednesday,Subscriber
12.3333,3,21,Wednesday,Subscriber
11.45,3,19,Wednesday,Subscriber
3.3333,3,19,Wednesday,Subscriber
10.3667,3,19,Wednesday,Subscriber
14.05,3,19,Wednesday,Subscriber
10.3833,3,19,Wednesday,Subscriber
6.5,3,19,Wednesday,Subscriber
24.75,3,19,Wednesday,Subscriber
6.8333,3,18,Wednesday,Subscriber
10.6333,3,18,Wednesday,Subscriber
5.5,3,18,Wednesday,Subscriber
2.3333,3,18,Wednesday,Subscriber
6.0167,3,18,Wednesday,Subscriber
