duration,month,hour,day_of_week,user_type
7.1231,3,22,Thursday,Subscriber
9.7925,3,22,Thursday,Subscriber
6.633,3,22,Thursday,Subscriber
7.4047,3,22,Thursday,Subscriber
13.0146,3,22,Thursday,Subscriber
17.0552,3,22,Thursday,Subscriber
11.0116,3,22,Thursday,Subscriber
30.0117,3,21,Thursday,Subscriber
3.6268,3,21,Thursday,Subscriber
6.5921,3,21,Thursday,Subscriber
16.9123,3,21,Thursday,Customer
4.017,3,21,Thursday,Subscriber
102.9992,3,21,Thursday,Customer
23.8291,3,21,Thursday,Subscriber
2.4967,3,20,Thursday,Subscriber
2.3892,3,20,Thursday,Subscriber
9.6672,3,20,Thursday,Customer
4.998,3,20,Thursday,Subscriber
3.7829,3,20,Thursday,Subscriber
19.574,3,20,Thursday,Subscriber
7.2363,3,20,Thursday,Subscriber
37.0157,3,20,Thursday,Subscriber
6.3548,3,19,Thursday,Subscriber
5.2192,3,19,Thursday,Subscriber
12.3789,3,19,Thursday,Subscriber
12.8984,3,19,Thursday,Customer
6.3545,3,19,Thursday,Subscriber
20.2723,3,19,Thursday,Subscriber
5.163,3,19,Thursday,Subscriber
25.3016,3,19,Thursday,Customer
12.0225,3,19,Thursday,Subscriber
36.0156,3,18,Thursday,Customer
14.8348,3,18,Thursday,Subscriber
17.0885,3,18,Thursday,Subscriber
91.1671,3,18,Thursday,Subscriber
5.4823,3,18,Thursday,Subscriber
8.1566,3,18,Thursday,Subscriber
7.1575,3,18,Thursday,Subscriber
5.2372,3,18,Thursday,Subscriber
17.6673,3,18,Thursday,Subscriber
13.2341,3,18,Thursday,Customer
18.4983,3,18,Thursday,Subscriber
23.2317,3,18,Thursday,Subscriber
13.9926,3,18,Thursday,Subscriber
12.9627,3,18,Thursday,Subscriber
12.1648,3,18,Thursday,Subscriber
17.8468,3,18,Thursday,Subscriber
19.7929,3,18,Thursday,Subscriber
7.606,3,18,Thursday,Subscriber
12.4394,3,18,Thursday,Subscriber
3.6109,3,18,Thursday,Subscriber
15.7788,3,17,Thursday,Subscriber
23.0666,3,17,Thursday,Customer
20.3752,3,17,Thursday,Subscriber
10.4145,3,17,Thursday,Subscriber
14.7604,3,17,Thursday,Subscriber
13.5493,3,17,Thursday,Subscriber
20.3348,3,17,Thursday,Subscriber
24.5232,3,17,Thursday,Subscriber
46.1539,3,17,Thursday,Customer
13.7058,3,17,Thursday,Subscriber
6.2716,3,17,Thursday,Subscriber
19.3098,3,17,Thursday,Subscriber
5.7537,3,17,Thursday,Subscriber
8.7936,3,17,Thursday,Subscriber
19.9632,3,17,Thursday,Subscriber
22.8368,3,17,Thursday,Subscriber
5.9568,3,17,Thursday,Subscriber
12.6935,3,17,Thursday,Subscriber
5.0833,3,17,Thursday,Subscriber
12.6935,3,17,Thursday,Subscriber
14.6523,3,17,Thursday,Subscriber
12.656,3,17,Thursday,Subscriber
5.3117,3,17,Thursday,Subscriber
8.7838,3,17,Thursday,Subscriber
12.2459,3,17,Thursday,Subscriber
9.5516,3,16,Thursday,Subscriber
17.0418,3,16,Thursday,Customer
27.2376,3,16,Thursday,Customer
1.2142,3,16,Thursday,Subscriber
12.4373,3,16,Thursday,Subscriber
13.6251,3,16,Thursday,Subscriber
5.6515,3,16,Thursday,Subscriber
10.7082,3,16,Thursday,Subscriber
8.1164,3,16,Thursday,Subscriber
28.0869,3,16,Thursday,Subscriber
5.9171,3,16,Thursday,Subscriber
31.0032,3,16,Thursday,Customer
11.3391,3,16,Thursday,Customer
7.2418,3,16,Thursday,Subscriber
12.709,3,15,Thursday,Customer
7.213,3,15,Thursday,Subscriber
8.3308,3,15,Thursday,Subscriber
9.9909,3,15,Thursday,Subscriber
6.2482,3,15,Thursday,Subscriber
9.3792,3,15,Thursday,Subscriber
6.2529,3,15,Thursday,Subscriber
4.404,3,15,Thursday,Subscriber
51.4952,3,15,Thursday,Customer
2.963,3,15,Thursday,Subscriber
12.5822,3,15,Thursday,Subscriber
21.1146,3,15,Thursday,Subscriber
74.3769,3,14,Thursday,Customer
3.4903,3,14,Thursday,Subscriber
28.9229,3,14,Thursday,Subscriber
5.0506,3,14,Thursday,Subscriber
97.978,3,14,Thursday,Subscriber
13.8207,3,14,Thursday,Subscriber
4.5662,3,14,Thursday,Subscriber
7.0974,3,14,Thursday,Subscriber
126.643,3,14,Thursday,Customer
4.6107,3,14,Thursday,Subscriber
7.6887,3,14,Thursday,Customer
6.8285,3,14,Thursday,Subscriber
23.7437,3,13,Thursday,Customer
15.0456,3,13,Thursday,Subscriber
14.766,3,13,Thursday,Subscriber
20.6341,3,13,Thursday,Subscriber
8.799,3,13,Thursday,Subscriber
166.2059,3,13,Thursday,Customer
41.5694,3,13,Thursday,Customer
32.7367,3,13,Thursday,Customer
12.2587,3,13,Thursday,Subscriber
10.0402,3,13,Thursday,Subscriber
4.3223,3,12,Thursday,Subscriber
7.6265,3,12,Thursday,Subscriber
5.5889,3,12,Thursday,Subscriber
12.7354,3,12,Thursday,Subscriber
17.5312,3,12,Thursday,Subscriber
10.958,3,12,Thursday,Subscriber
170.3365,3,12,Thursday,Customer
150.7699,3,12,Thursday,Customer
8.3936,3,12,Thursday,Customer
20.555,3,12,Thursday,Subscriber
20.1167,3,12,Thursday,Subscriber
2.6069,3,12,Thursday,Subscriber
126.5892,3,12,Thursday,Customer
21.2246,3,12,Thursday,Subscriber
38.6929,3,12,Thursday,Customer
6.0987,3,11,Thursday,Subscriber
24.0259,3,11,Thursday,Customer
8.8207,3,11,Thursday,Subscriber
3.192,3,11,Thursday,Subscriber
28.6734,3,11,Thursday,Customer
16.5427,3,11,Thursday,Subscriber
103.9823,3,11,Thursday,Customer
16.7063,3,11,Thursday,Customer
6.015,3,11,Thursday,Subscriber
33.956,3,11,Thursday,Subscriber
2.185,3,10,Thursday,Subscriber
9.9987,3,10,Thursday,Subscriber
10.7571,3,10,Thursday,Customer
6.7771,3,10,Thursday,Subscriber
5.95,3,10,Thursday,Subscriber
5.5798,3,10,Thursday,Subscriber
2.9537,3,10,Thursday,Subscriber
42.321,3,10,Thursday,Customer
6.5734,3,10,Thursday,Subscriber
20.3021,3,10,Thursday,Subscriber
24.0637,3,10,Thursday,Customer
30.6974,3,10,Thursday,Customer
3.5916,3,9,Thursday,Subscriber
3.366,3,9,Thursday,Subscriber
13.2794,3,9,Thursday,Customer
124.1427,3,9,Thursday,Customer
17.61,3,9,Thursday,Subscriber
2.5852,3,9,Thursday,Subscriber
22.8263,3,9,Thursday,Customer
58.4032,3,9,Thursday,Customer
3.5525,3,9,Thursday,Subscriber
14.2369,3,9,Thursday,Subscriber
27.7195,3,8,Thursday,Customer
18.9848,3,8,Thursday,Subscriber
17.8382,3,8,Thursday,Subscriber
6.7678,3,8,Thursday,Subscriber
16.8241,3,8,Thursday,Customer
7.9691,3,8,Thursday,Subscriber
25.5776,3,8,Thursday,Subscriber
5.3169,3,8,Thursday,Subscriber
13.9096,3,8,Thursday,Subscriber
2.6537,3,8,Thursday,Subscriber
9.9383,3,8,Thursday,Subscriber
9.7919,3,8,Thursday,Subscriber
3.8214,3,8,Thursday,Subscriber
24.2438,3,8,Thursday,Customer
16.1997,3,8,Thursday,Subscriber
10.7989,3,8,Thursday,Subscriber
13.9377,3,8,Thursday,Subscriber
21.8239,3,8,Thursday,Subscriber
5.1333,3,8,Thursday,Subscriber
26.9287,3,8,Thursday,Customer
3.2381,3,8,Thursday,Subscriber
25.5551,3,8,Thursday,Subscriber
18.6271,3,7,Thursday,Subscriber
10.4943,3,7,Thursday,Customer
10.4659,3,7,Thursday,Subscriber
4.8515,3,7,Thursday,Subscriber
61.7039,3,7,Thursday,Customer
14.7722,3,7,Thursday,Subscriber
26.3429,3,7,Thursday,Subscriber
12.6246,3,7,Thursday,Subscriber
12.1262,3,7,Thursday,Subscriber
1.7207,3,7,Thursday,Subscriber
11.1,3,7,Thursday,Subscriber
9.0601,3,7,Thursday,Subscriber
14.1483,3,7,Thursday,Subscriber
16.943,3,7,Thursday,Subscriber
16.5273,3,7,Thursday,Subscriber
4.2149,3,7,Thursday,Subscriber
5.2729,3,7,Thursday,Subscriber
19.8092,3,7,Thursday,Subscriber
30.1381,3,7,Thursday,Subscriber
10.7494,3,6,Thursday,Subscriber
13.0836,3,6,Thursday,Subscriber
2.4931,3,6,Thursday,Subscriber
16.2989,3,6,Thursday,Subscriber
10.8169,3,6,Thursday,Subscriber
29.6426,3,6,Thursday,Subscriber
14.9407,3,6,Thursday,Subscriber
14.1728,3,5,Thursday,Subscriber
7.5432,3,5,Thursday,Subscriber
8.801,3,5,Thursday,Subscriber
8.4136,3,1,Thursday,Subscriber
16.7287,3,0,Thursday,Subscriber
9.1411,3,23,Wednesday,Customer
1.0214,3,23,Wednesday,Subscriber
7.9806,3,23,Wednesday,Customer
9.2258,3,22,Wednesday,Subscriber
5.9365,3,22,Wednesday,Subscriber
8.0516,3,22,Wednesday,Subscriber
4.0849,3,22,Wednesday,Subscriber
10.3605,3,21,Wednesday,Subscriber
15.0785,3,21,Wednesday,Subscriber
5.0714,3,21,Wednesday,Subscriber
2.2151,3,21,Wednesday,Subscriber
17.1211,3,21,Wednesday,Subscriber
6.7038,3,21,Wednesday,Subscriber
3.3041,3,21,Wednesday,Subscriber
6.0307,3,21,Wednesday,Subscriber
6.3999,3,20,Wednesday,Subscriber
7.2867,3,20,Wednesday,Subscriber
13.5729,3,20,Wednesday,Subscriber
8.1678,3,20,Wednesday,Subscriber
8.096,3,20,Wednesday,Subscriber
8.3814,3,20,Wednesday,Subscriber
9.937,3,20,Wednesday,Subscriber
4.5498,3,20,Wednesday,Subscriber
19.8088,3,20,Wednesday,Customer
17.2837,3,20,Wednesday,Subscriber
54.177,3,20,Wednesday,Subscriber
2.8729,3,20,Wednesday,Subscriber
6.8894,3,19,Wednesday,Subscriber
7.7579,3,19,Wednesday,Subscriber
7.5597,3,19,Wednesday,Subscriber
5.5767,3,19,Wednesday,Subscriber
11.9854,3,19,Wednesday,Subscriber
14.4604,3,19,Wednesday,Customer
24.1463,3,19,Wednesday,Subscriber
8.2709,3,19,Wednesday,Subscriber
3.8695,3,19,Wednesday,Subscriber
54.1908,3,19,Wednesday,Subscriber
15.6473,3,19,Wednesday,Subscriber
10.0901,3,19,Wednesday,Subscriber
18.759,3,19,Wednesday,Subscriber
6.9036,3,19,Wednesday,Subscriber
14.0755,3,18,Wednesday,Subscriber
4.7488,3,18,Wednesday,Subscriber
13.444,3,18,Wednesday,Subscriber
2.5142,3,18,Wednesday,Subscriber
3.083,3,18,Wednesday,Subscriber
11.3947,3,18,Wednesday,Subscriber
85.3903,3,18,Wednesday,Customer
55.347,3,18,Wednesday,Customer
22.7961,3,18,Wednesday,Subscriber
